f_id,f_ori_name,f_eng_name,sci_name,edible_portion,data_type,food_category,alcohol (etanol),"energía, total","grasa, total (lipidos totales)","proteina, total",agua (humedad),carbohidratos,"fibra, dietetica total",ácido graso 22:6 n-3 (ácido docosahexaenóico),ácido graso 20:5 (ácido eicosapentaenóico),ácido graso 12:0 (láurico),ácido graso 14:0 (ácido mirístico),ácido graso 16:0 (ácido palmítico),ácido graso 18:0 (ácido esteárico),ácido graso 18:1 n-9 cis (ácido oléico),ácido graso 18:2,ácido graso 18:3,ácido graso 20:4 n-6 (ácido araquidónico),"ácidos grasos, monoinsaturados totales","ácidos grasos, poliinsaturados totales",ácidos grasos saturados totales,"ácidos grasos, trans totales",colesterol,Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,Vitamina D,Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,"folato, total","equivalentes de niacina, totales",riboflavina,tiamina,Vitamina B-12,"Vitamina B-6, Total",Vitamina C (ácido ascórbico),calcio,"hierro, total",potasio,magnesio,sodio,fósforo,ioduro,"selenio, total",zinc (cinc),triptófano,treonina,metionina,fenilalanina,tirosina,alanina,ácido glutámico,glicina,prolina,isoleucina,leucina,lisina,cistina,valina,arginina,histidina,ácido aspártico,serina
167782,"Abiyuch, raw","Abiyuch, raw",,100,SR Legacy,,,69.0,0.1,1.5,79.9,17.6,5.3,,,,,,,,,,,,,0.014,0.0,,5.0,,,,,,,,,54.1,8.0,1.61,304.0,24.0,20.0,47.0,,,0.31,,,,,,,,,,,,,,,,,,
171687,"Acerola juice, raw","Acerola juice, raw",,100,SR Legacy,,0.0,23.0,0.3,0.4,94.3,4.8,0.3,,,,,,,,,,,0.082,0.09,0.068,0.0,0.0,25.0,,0.18,14.0,0.4,0.06,0.02,0.0,0.004,1600.0,10.0,0.5,97.0,12.0,3.0,9.0,,0.1,0.1,,,,,,,,,,,,,,,,,,
171686,"Acerola, (west indian cherry), raw","Acerola, (west indian cherry), raw",,100,SR Legacy,,0.0,32.0,0.3,0.4,91.4,7.69,1.1,,,,,,,,,,,0.082,0.09,0.068,0.0,0.0,38.0,,,14.0,0.4,0.06,0.02,0.0,0.009,1680.0,12.0,0.2,146.0,18.0,7.0,11.0,,0.6,0.1,,,,,,,,,,,,,,,,,,
168061,Acorn stew (Apache),Acorn stew (Apache),,100,SR Legacy,,,95.0,3.47,6.81,79.8,9.22,0.7,,,,,,,,,,,1.68,0.297,1.28,,20.0,0.0,,0.3,33.0,2.14,0.125,0.175,0.68,0.055,0.0,14.0,1.0,110.0,12.0,130.0,62.0,,8.3,1.6,0.04,0.36,0.16,0.33,0.25,0.45,1.51,0.42,0.46,0.35,0.62,0.58,0.09,0.39,0.47,0.23,0.83,0.33
168992,"Agave, cooked (Southwest)","Agave, cooked (Southwest)",,100,SR Legacy,,0.0,563.0,0.29,0.99,65.4,32.0,10.6,,,,,,,,,,,,,,,0.0,6.0,0.0,0.36,3.0,0.162,0.099,0.012,0.0,0.087,0.3,460.0,3.55,59.0,39.0,13.0,9.0,,0.2,0.25,,,,,,,,,,,,,,,,,,
168993,"Agave, dried (Southwest)","Agave, dried (Southwest)",,100,SR Legacy,,0.0,341.0,0.69,1.71,11.6,82.0,15.6,,,,,,,,,,,,,,,0.0,1.0,0.0,0.76,7.0,0.87,0.644,0.021,0.0,0.216,0.3,770.0,3.64,767.0,207.0,14.0,37.0,,0.6,12.1,,,,,,,,,,,,,,,,,,
169814,"Agave, raw (Southwest)","Agave, raw (Southwest)",,100,SR Legacy,,0.0,68.0,0.15,0.52,81.8,16.2,6.6,,,,,,,,,,,,,,,0.0,2.0,0.0,0.23,7.0,0.162,0.039,0.029,0.0,0.055,4.0,417.0,1.8,127.0,55.0,14.0,7.0,,0.4,0.15,0.008,0.014,0.009,0.019,0.009,0.024,0.052,0.019,0.013,0.014,0.025,0.028,0.008,0.022,0.106,0.008,0.041,0.021
169823,"Agutuk, fish with shortening (Alaskan ice cream) (Alaska Native)","Agutuk, fish with shortening (Alaskan ice cream) (Alaska Native)",,100,SR Legacy,,,1960.0,43.5,9.0,34.0,10.5,,,,,,,,,,,,15.6,17.3,8.6,,26.0,34.0,,4.0,,1.43,0.06,0.06,,,,,0.2,206.0,16.0,24.0,134.0,,,0.47,,,,,,,,,,,,,,,,,,
168976,"Agutuk, fish/berry with seal oil (Alaskan ice cream) (Alaska Native)","Agutuk, fish/berry with seal oil (Alaskan ice cream) (Alaska Native)",,100,SR Legacy,,,353.0,31.8,3.4,47.3,13.4,0.5,,,,,,,,,,,14.4,8.4,7.7,,10.0,,,2.36,3.0,0.55,0.05,0.04,,0.01,2.9,8.0,0.3,70.0,7.0,21.0,46.0,,,0.18,,,,,,,,,,,,,,,,,,
168977,"Agutuk, meat-caribou (Alaskan ice cream) (Alaska Native)","Agutuk, meat-caribou (Alaskan ice cream) (Alaska Native)",,100,SR Legacy,,,258.0,18.6,21.7,55.2,0.9,,,,,,,,,,,,8.7,3.6,5.1,,89.0,,,,4.0,4.26,0.66,0.18,4.83,0.23,2.2,16.0,4.55,228.0,20.0,95.0,170.0,,,3.83,,,,,,,,,,,,,,,,,,
